order_id,cancellation_reason_id,cancellation_reason
182851,55,"SKU's NA"
182849,58,"Customer Does Not Have Cash"
182841,55,"SKU's NA"
182836,30,"Retailer's Location is Incorrect"
182833,58,"Customer Does Not Have Cash"
182827,60,"Customer Has Already Purchased It From Somewhere Else"
182821,58,"Customer Does Not Have Cash"
182810,59,"Shop Closed And Customer Not Responding"
182808,58,"Customer Does Not Have Cash"
182799,53,"Late Delivery"
182793,28,"Incomplete Order"
182793,28,"Incomplete Order"
182783,60,"Customer Has Already Purchased It From Somewhere Else"
182770,60,"Customer Has Already Purchased It From Somewhere Else"
182769,30,"Retailer's Location is Incorrect"
182740,54,"Vehicle broke down"
182685,59,"Shop Closed And Customer Not Responding"
182682,57," order cancel no going area chota androon side Other"
182681,59,"Shop Closed And Customer Not Responding"
182680,58,"Customer Does Not Have Cash"
